"JJJ","CTY","RIQ","Val"
"jbeef","IRQ","QD",129.315756912647
"jbeef","IRQ","QF",129.315756912647
"jbeef","IRQ","QM",88.9459615888655
"jbeef","IRQ","QN",-88.9459615888655
"jbeef","IRQ","ARA",189.311000188192
"jbeef","IRQ","YLD",0.213245903743842
"jbeef","ISL","QS",4.85501886773765
"jbeef","ISL","QD",5.66664098896672
"jbeef","ISL","QF",5.66664098896672
"jbeef","ISL","QM",0.81162212122907
"jbeef","ISL","QN",-0.81162212122907
"jbeef","ISL","ARA",22.6110000610352
"jbeef","ISL","YLD",0.214719333715104
"jbeef","ISR","QS",151.355855938642
"jbeef","ISR","QD",298.580249660399
"jbeef","ISR","QF",298.580249660399
"jbeef","ISR","QM",147.224393721757
"jbeef","ISR","QN",-147.224393721757
"jbeef","ISR","ARA",458.173329671224
"jbeef","ISR","YLD",0.330346281934943
"jbeef","ITP","QS",744.003118569048
"jbeef","ITP","QD",965.212707923645
"jbeef","ITP","QF",965.212707923645
"jbeef","ITP","QM",221.209589354597
"jbeef","ITP","QN",-221.209589354597
"jbeef","ITP","ARA",2867.17134730021
"jbeef","ITP","YLD",0.259490287969575
"jbeef","JAM","QS",6.29870663039174
"jbeef","JAM","QD",15.3330963200259
"jbeef","JAM","QF",15.3330963200259
"jbeef","JAM","QM",9.03438968963413
"jbeef","JAM","QN",-9.03438968963413
"jbeef","JAM","ARA",28.6293328603109
"jbeef","JAM","YLD",0.220008851101232
"jbeef","JOR","QS",45.7103896464399
"jbeef","JOR","QD",82.3270280813443
"jbeef","JOR","QF",81.327031891666
"jbeef","JOR","QOth",0.999996189678313
"jbeef","JOR","QM",36.6166384349043
"jbeef","JOR","QN",-36.6166384349043
"jbeef","JOR","ARA",183.909998575846
"jbeef","JOR","YLD",0.248547604808928
"jbeef","JPN","QS",482.359150683427
"jbeef","JPN","QD",1217.19383777695
"jbeef","JPN","QF",1191.52989297763
"jbeef","JPN","QW",25.6639447993177
"jbeef","JPN","QM",734.83468709352
"jbeef","JPN","QN",-734.83468709352
