"C","J","CTY","Val"
"ctols","jtoolt","CAN",-0.5
"ctols","jtoolt","CHL",-0.5
"ctols","jtoolt","CHM",-0.5
"ctols","jtoolt","CHP",-0.5
"ctols","jtoolt","CIV",-0.5
"ctols","jtoolt","CMR",-0.5
"ctols","jtoolt","COL",-0.5
"ctols","jtoolt","CRI",-0.5
"ctols","jtoolt","CZE",-0.5
"ctols","jtoolt","ECU",-0.5
"ctols","jtoolt","FNP",-0.5
"ctols","jtoolt","FRP",-0.5
"ctols","jtoolt","GTM",-0.5
"ctols","jtoolt","HND",-0.5
"ctols","jtoolt","HUN",-0.5
"ctols","jtoolt","IRN",-0.5
"ctols","jtoolt","KEN",-0.5
"ctols","jtoolt","KOR",-0.5
"ctols","jtoolt","MEX",-0.5
"ctols","jtoolt","MYS",-0.5
"ctols","jtoolt","NGA",-0.5
"ctols","jtoolt","NPL",-0.5
"ctols","jtoolt","NZL",-0.5
"ctols","jtoolt","OBN",-0.5
"ctols","jtoolt","PAK",-0.5
"ctols","jtoolt","POL",-0.5
"ctols","jtoolt","ROU",-0.5
"ctols","jtoolt","SDN",-0.5
"ctols","jtoolt","SVK",-0.5
"ctols","jtoolt","SVN",-0.5
"ctols","jtoolt","SWE",-0.5
"ctols","jtoolt","TGO",-0.5
"ctols","jtoolt","TUR",-0.5
"ctols","jtoolt","UGA",-0.5
"ctols","jtoolt","UKP",-0.5
"ctols","jtoolt","UKR",-0.5
"ctols","jtoolt","USA",-0.5
"ctols","jtoolt","UZB",-0.5
"ctols","jtoolt","VEN",-0.5
"ctols","jtoolt","ZAF",-0.5
"ctols","jtoolt","ZWE",-0.5
"ctont","jtooln","AFG",-0.5
"ctont","jtooln","ALB",-0.5
"ctont","jtooln","ARG",-0.5
"ctont","jtooln","AUS",-0.5
"ctont","jtooln","AUT",-0.5
"ctont","jtooln","AZE",-0.5
"ctont","jtooln","BEN",-0.5
"ctont","jtooln","BGD",-0.5
"ctont","jtooln","BGR",-0.5
"ctont","jtooln","BLR",-0.5
"ctont","jtooln","BLX",-0.5
"ctont","jtooln","BRA",-0.5
"ctont","jtooln","CAF",-0.5
"ctont","jtooln","CAN",-0.5
"ctont","jtooln","CHL",-0.5
"ctont","jtooln","CHM",-0.5
"ctont","jtooln","CHP",-0.5
"ctont","jtooln","CIV",-0.5
"ctont","jtooln","CMR",-0.5
"ctont","jtooln","COL",-0.5
"ctont","jtooln","CRB",-0.5
"ctont","jtooln","CRI",-0.5
"ctont","jtooln","CYP",-0.5
"ctont","jtooln","CZE",-0.5
"ctont","jtooln","DOM",-0.5
"ctont","jtooln","DZA",-0.5
"ctont","jtooln","ECU",-0.5
"ctont","jtooln","EGY",-0.5
"ctont","jtooln","ETH",-0.5
"ctont","jtooln","FJI",-0.5
"ctont","jtooln","FNP",-0.5
"ctont","jtooln","FRP",-0.5
"ctont","jtooln","GHA",-0.5
"ctont","jtooln","GIN",-0.5
"ctont","jtooln","GNB",-0.5
"ctont","jtooln","GRC",-0.5
"ctont","jtooln","GSA",-0.5
"ctont","jtooln","GTM",-0.5
"ctont","jtooln","HND",-0.5
"ctont","jtooln","HRV",-0.5
"ctont","jtooln","HTI",-0.5
"ctont","jtooln","HUN",-0.5
"ctont","jtooln","IDN",-0.5
"ctont","jtooln","IND",-0.5
"ctont","jtooln","IRN",-0.5
"ctont","jtooln","IRQ",-0.5
"ctont","jtooln","ISR",-0.5
"ctont","jtooln","ITP",-0.5
"ctont","jtooln","JAM",-0.5
"ctont","jtooln","JOR",-0.5
"ctont","jtooln","KAZ",-0.5
"ctont","jtooln","KEN",-0.5
"ctont","jtooln","KHM",-0.5
"ctont","jtooln","KOR",-0.5
"ctont","jtooln","LBN",-0.5
"ctont","jtooln","LBY",-0.5
"ctont","jtooln","LKA",-0.5
"ctont","jtooln","MDG",-0.5
"ctont","jtooln","MEX",-0.5
"ctont","jtooln","MMR",-0.5
"ctont","jtooln","MOR",-0.5
"ctont","jtooln","MOZ",-0.5
